適用規格,調査名,調査目的,調査対象,ボーリング連番,経度_度,経度_分,経度_秒,緯度_度,緯度_分,緯度_秒,測地系,コード1次,コード2次,コード3次,発注機関名称,調査期間_終了年月日,調査会社_名称,孔口標高,総掘進長,柱状図様式,掘進角度,掘進方向,岩石土区分_下端深度,岩石土区分_岩石土名,岩石土区分_岩石群コード,岩石土区分_岩石土記号,岩石土区分_岩石,色調_下端深度,標準貫入試験_開始深度,標準貫入試験_合計打撃回数,標準貫入試験_合計貫入量,孔内水位_孔内水位,バージョン変換情報,調査期間_開始年月日,ハンマー落下用具_コード,色調_色調名,標準貫入試験_備考,岩石土区分_岩相,孔内水平載荷試験_試験深度,孔内水平載荷試験_試験方法コード,孔内水平載荷試験_初期圧,孔内水平載荷試験_変形係数,透水試験_上端深度,透水試験_下端深度,透水試験_試験コード,透水試験_透水係数,P波試験_上端深度,P波試験_速度,P波試験_下端深度,孔内水平載荷試験_降伏圧,事業工事名,ボーリング名,ボーリング総数,取得方法コード,読取精度コード,調査会社_主任技師,調査会社_現場代理人,調査会社_コア鑑定者,調査会社_ボーリング責任者,地盤勾配,試錐機_名称,試錐機_方法,エンジン_名称,ハンマー落下用具_名称,N値記録用具_コード,N値記録用具_名称,ポンプ_名称,観察記事_上端深度,観察記事_下端深度,観察記事_記事,標準貫入試験_0_10打撃回数,標準貫入試験_0_10貫入量,標準貫入試験_10_20打撃回数,標準貫入試験_10_20貫入量,標準貫入試験_20_30打撃回数,標準貫入試験_20_30貫入量,硬軟区分判定表_コード,硬軟区分判定表_記号,硬軟区分判定表_区分,硬軟区分判定表_説明,硬軟区分_下端深度,硬軟区分_硬軟区分,コア形状区分判定表_コード,コア形状区分判定表_記号,コア形状区分判定表_区分,コア形状区分判定表_説明,コア形状区分_下端深度,コア形状区分_コア形状区分,割れ目区分_下端深度,割れ目区分_割れ目区分,風化区分_下端深度,風化区分_風化区分,変質区分判定表_コード,変質区分判定表_記号,変質区分判定表_区分,変質区分判定表_説明,変質区分_下端深度,変質区分_変質区分,孔内水位_測定年月日,孔内水位_掘削状況コード,孔内水位_水位種別コード,掘削工程_測定年月日,掘削工程_掘進深度,掘削工程_ケーシング下端深度,孔径孔壁保護_下端深度,孔径孔壁保護_孔径,孔径孔壁保護_孔壁保護コード,掘進速度_下端深度,掘進速度_掘進速度,コアチューブビット_下端深度,コアチューブビット_コアチューブ名,コアチューブビット_ビット名,給圧条件_下端深度,給圧条件_給圧,回転数_下端深度,回転数_回転数,送水条件_下端深度,送水条件_送水圧,送水条件_送水量,送水条件_排水量,送水条件_送水種類コード,送水条件_送水種類,岩級区分判定表_項目名,岩級区分判定表_コード,岩級区分判定表_記号,岩級区分判定表_説明,岩級区分_下端深度,岩級区分_岩級区分,観察記事枠線_下端深度,相対密度稠度_下端深度,相対密度_コード,相対稠度_コード,割れ目区分判定表_コード,割れ目区分判定表_記号,割れ目区分判定表_説明,風化区分判定表_コード,風化区分判定表_記号,風化区分判定表_説明,孔内水位_掘削状況,孔内水位_水位種別備考,孔径孔壁保護_孔壁保護方法,コア採取率_下端深度,コア採取率_採取率,最大コア長_下端深度,最大コア長_コア長,RQD_下端深度,RQD_RQD,相対稠度_状態,断層破砕帯区分_上端深度,断層破砕帯区分_下端深度,断層破砕帯区分_性状コード,相対密度_状態,試料採取_上端深度,試料採取_下端深度,試料採取_試料番号,試料採取_採取方法コード,試錐機_能力,エンジン_能力,エンジン_単位,ポンプ_能力,ポンプ_単位,座標定義,座標,櫓種類コード,その他原位置試験_試験名,その他原位置試験_上端深度,その他原位置試験_下端深度,その他原位置試験_試験結果,地質時代_上端深度,地質時代_下端深度,地質時代_地質時代名,地質時代_形成年代上限,地質時代_形成年代下限,地層岩体区分_上端深度,地層岩体区分_下端深度,地層岩体区分_地層岩体名,孔径孔壁保護_孔壁保護実施理由,保孔管_下端深度,保孔管_種別コード,孔内水平載荷試験_載荷パターン,S波試験_上端深度,S波試験_下端深度,試料採取_試験名
JIS A 0206-2008,美浜東ＢＰ山上地区地質調査業務,01,01,8,135,58,27.581,35,36,44.326,1,5335,37,37,国土交通省 近畿地方整備局 福井河川国道事務所,2000-01-00,応用地質株式会社　福井支店,64.5,25,1,,0,25,岩盤,1,,999040001,25,19.15,60,5,0,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,3,灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,福岡地区土質調査　石田川橋土質調査　石田川橋土質調査その２,01,05,2,136,1,3.593,35,24,50.212,1,5336,00,91,国土交通省 近畿地方整備局 滋賀国道事務所,1984-08,近畿技術コンサルタンツ株式会社,101.71,15,1,,0,15,砂質シルト,1,MS,532110020,15,14.65,50,26,0.9,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,坂ノ下地区地質調査作業,01,05,5,136,4,46.345,35,37,58.827,1,5336,30,56,国土交通省 近畿地方整備局 福井河川国道事務所,1980-11,川崎地質株式会社,12.16,15.45,1,,0,15.45,砂利・礫混りシルト質砂,1,G-M,531113003,15.45,15.15,18,30,1.8,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,国道２７号線改良相生橋追加地質調査,01,05,11,135,20,6.805,35,27,2.639,1,5335,12,46,国土交通省 近畿地方整備局 福知山河川国道事務所,1971-03-00,（株）オリエンタルコンサルタンツ,1.81,7,1,,0,7,シルト質粘性土,1,GF,531100000,7,,,,0.2,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,真名川流域地質調査作業,09,10,11,136,30,6.08,35,51,50.369,1,5336,64,30,国土交通省 近畿地方整備局 福井河川国道事務所,1988-10,応用地質株式会社,579.52,7.8,2,,0,7.8,粘土混り礫質土,1,GF,531100000,7.8,,,,1.2,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,青紫灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,油坂３号橋地質調査作業,01,05,5,136,50,23.071,35,52,41.793,1,5336,66,57,国土交通省 近畿地方整備局 福井河川国道事務所,1987-12,応用地質株式会社,520.03,20,2,,0,20,粘土混り礫質土,1,,,20,6.05,50,7,,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,17.5,02,4,4400,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,市場糊線橋地質調査工事,08,01,3,135,24,12.281,35,28,26.335,1,5335,13,62,国土交通省 近畿地方整備局 福知山河川国道事務所,1965-08,株式会社キンキ地質センター,,12.88,1,,0,12.88,粘土質礫,1,GC,531131040,12.88,12.3,15,30,0.8,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,3,青黄褐,,599200002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,油坂９号橋地質調査業務委託,01,05,1,136,50,38.87,35,52,43.093,1,5336,66,57,国土交通省 近畿地方整備局 福井河川国道事務所,1991-12,応用地質株式会社,443.29,24,2,,0,24,軟岩・風化岩,1,SF,,24,18,50,20,11.2,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,4,灰,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,永平寺大野道路吉峰地区他地質調査業務,01,05,3,136,25,16.779,36,4,4.877,1,5436,03,83,国土交通省 近畿地方整備局 福井河川国道事務所,1999-04-00,京福コンサルタント株式会社,102.71,9.31,1,,0,9.31,玉石混り礫質土,1,GF,531100000,9.31,9.15,50,16,1.19,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,3,暗黄褐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,中部縦貫上志比地区地質調査業務,01,11,4,136,24,54.281,36,4,3.577,1,5436,03,83,国土交通省 近畿地方整備局 福井河川国道事務所,1999-01-00,サンコーコンサルタント株式会社,147.31,25,2,,0,25,軟岩・風化岩,1,S-M,531213003,25,22,50,6,21,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,2,淡黄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,８号阿曽地区防災予備設計業務,01,01,6,136,4,53.037,35,41,23.804,1,5336,40,26,国土交通省 近畿地方整備局 福井河川国道事務所,1988-03,ジビル調査設計株式会社,7.42,12,1,,0,12,粘土質高有機質土(腐植土),1,G-B,521111000,12,8.15,50,15,6.8,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,敦賀バイパス１９工区トンネル地質調査作業,01,04,6,136,4,52.546,35,37,24.331,1,5336,30,46,国土交通省 近畿地方整備局 福井河川国道事務所,1991-03,川崎地質株式会社,61.48,11,2,,0,11,硬岩,1,HR,999010002,11,3.15,60,15,0,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,3,淡赤白,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,勝山国道地質調査,01,05,3,136,33,11.831,36,6,26.173,1,5436,14,24,国土交通省 近畿地方整備局 福井河川国道事務所,1969-01,サンコ―コンサルタント株式会社,334.5,15.15,2,,0,15.15,岩盤,1,SF,999040001,15.15,8,99,30,3.7,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,貫入不能,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,２７号高森地質調査作業,01,01,1,135,35,30.919,35,29,20.145,1,5335,14,87,国土交通省 近畿地方整備局 福井河川国道事務所,1990-12,京福コンサルタント株式会社,2.65,28.5,1,,0,28.5,砂利・礫混り粘性土,1,C,532100000,28.5,28.15,11,30,3.35,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,3,黄褐,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,元比田地質調査作業,01,05,2,136,6,22.02,35,45,24.178,1,5336,50,08,国土交通省 近畿地方整備局 福井河川国道事務所,1982-05,株式会社田中地質コンサルタント,88.23,15.5,1,,0,15.5,礫質土,1,GF,531100000,15.5,15.15,46,30,,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,3.5,02,0.43,11.83,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,舞鶴市場改良工事地質調査,01,05,6,135,24,12.28,35,28,56.331,1,5335,13,72,国土交通省 近畿地方整備局 福知山河川国道事務所,1966-10,公成建設株式会社,2.5,20.47,2,,0,20.47,粘土混り礫質土,1,C,532100000,20.47,19.15,28,30,,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,4,暗灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,油坂３号橋地質調査その２作業,01,05,2,136,50,21.772,35,52,40.093,1,5336,66,57,国土交通省 近畿地方整備局 福井河川国道事務所,1988-01-00,応用地質株式会社,512.55,50,2,228,80,50,粘土混り礫質土,1,,,50,,,,,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,永平寺大野道路轟地区他地質調査業務,01,12,5,136,20,50.4,36,5,14.163,1,5436,12,07,国土交通省 近畿地方整備局 福井河川国道事務所,1998-12-00,中央復建コンサルタンツ株式会社,98.54,5,2,,0,5,軟岩・風化岩,1,,,5,1.15,33,30,,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,4,青灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,永平寺大野道路上志比地区水文調査業務,01,14,3,136,23,50.386,36,4,14.174,1,5436,03,81,国土交通省 近畿地方整備局 福井河川国道事務所,2000-03-00,株式会社　サンワコン,87.41,13.43,2,,0,13.43,軟岩・風化岩,1,GF,531100000,13.43,13.15,50,28,1.9,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,4,黄褐灰白,,599200003,,,,,11,12.5,01,0.0000437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,油坂３号橋地質調査その２作業,01,05,1,136,50,21.072,35,52,39.793,1,5336,66,57,国土交通省 近畿地方整備局 福井河川国道事務所,1988-01-00,応用地質株式会社,515.78,33,2,,0,33,粘土混り礫質土,1,,,33,25,50,4,9.5,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,,,,,12.5,02,7,3700,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,舞鶴市場改良工事地質調査,01,05,7,135,24,12.28,35,28,56.331,1,5335,13,72,国土交通省 近畿地方整備局 福知山河川国道事務所,1966-10,公成建設株式会社,2.6,21.07,2,,0,21.07,粘土混り礫質土,1,C,532100000,21.07,20.15,50,20,,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,4,暗灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,水落地区地質調査作業,14,01,1,136,11,18.668,35,57,28.902,1,5336,71,45,国土交通省 近畿地方整備局 福井河川国道事務所,1997-03,株式会社田中地質コンサルタント,12.02,16.45,1,,0,16.45,礫質土,1,GF,531100000,16.45,16.15,58,30,1.1,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,3,灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,８号道ノ口堆雪拡幅その２工事地質調査,01,01,1,136,4,49.546,35,37,19.332,1,5336,30,46,国土交通省 近畿地方整備局 福井河川国道事務所,1998-07,敦賀旭土建株式会社,32.97,11.12,1,,0,11.12,礫質土,1,GF,531100000,11.12,11,50,12,7.6,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,4,暗褐灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,中部縦貫上志比地区地質調査業務,01,12,3,136,24,46.081,36,4,3.376,1,5436,03,83,国土交通省 近畿地方整備局 福井河川国道事務所,1999-01-00,サンコーコンサルタント株式会社,98.62,36.05,2,,0,36.05,軟岩・風化岩,1,SM,531231030,36.05,36,50,5,1.1,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,2,淡褐灰,,599200003,4.85,01,1.85,83.61,,,,,,,,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,永平寺大野道路吉峰地区他地質調査業務,01,05,2,136,25,14.579,36,4,5.077,1,5436,03,83,国土交通省 近畿地方整備局 福井河川国道事務所,1999-04-00,京福コンサルタント株式会社,104.13,9.42,1,,0,9.42,礫質土,1,GF,531100000,9.42,9.15,50,27,1.77,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,3,暗黄褐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,油坂９号橋地質調査業務委託,01,05,1,136,50,38.57,35,52,42.893,1,5336,66,57,国土交通省 近畿地方整備局 福井河川国道事務所,1991-12,応用地質株式会社,449.52,30,2,,0,30,軟岩・風化岩,1,,,30,25,50,10,12.8,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,4,灰,,,11,02,4.77,480,,,,,,,,17.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,市場糊線橋地質調査工事,08,01,2,135,24,12.281,35,28,26.335,1,5335,13,62,国土交通省 近畿地方整備局 福知山河川国道事務所,1965-08,株式会社キンキ地質センター,,13.16,1,,0,13.16,シルト混り礫,1,G-M,531113003,13.16,12.45,21,30,0.8,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,3,青黄褐,,599200002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,敦賀Ｂ．Ｐ．１７工区地質調査作業,01,02,6,136,5,7.74,35,39,10.819,1,5336,30,86,国土交通省 近畿地方整備局 福井河川国道事務所,1985-09-00,基礎地盤コンサルタンツ株式会社,14.21,35.1,2,,0,35.1,軟岩・風化岩,1,G-C,531113004,35.1,35.05,60,4,1.09,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,4,暗灰,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,油坂３号橋地質調査作業,01,05,6,136,50,22.371,35,52,42.093,1,5336,66,57,国土交通省 近畿地方整備局 福井河川国道事務所,1987-12,応用地質株式会社,527.35,30,2,,0,30,粘土混り礫質土,1,,,30,13.8,50,10,,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,真名川流域地質調査作業,09,10,12,136,30,6.08,35,51,50.369,1,5336,64,30,国土交通省 近畿地方整備局 福井河川国道事務所,1988-10,応用地質株式会社,579.78,3.5,2,281,45,3.5,粘土混り礫質土,1,,,3.5,,,,,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,紫灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,国道２７号線改良相生橋追加地質調査,01,05,12,135,20,8.705,35,27,2.639,1,5335,12,46,国土交通省 近畿地方整備局 福知山河川国道事務所,1971-03-00,（株）オリエンタルコンサルタンツ,-0.04,18,1,,0,18,岩盤,1,GF,999040001,18,17.15,99,27,0.35,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),0000-00-00,,,貫入不能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,多母谷川潜水橋設計業務（管理棟）,14,01,4,136,41,23.817,35,53,19.275,1,5336,65,65,国土交通省 近畿地方整備局 九頭竜川ダム統合管理事務所,1997-02,株式会社　サンワコン,568.68,10.5,2,,0,10.5,岩盤,1,G-M,999040001,10.5,10.15,29,30,0,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,4,黄褐黒灰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIS A 0206-2008,福岡地区土質調査　石田川橋土質調査　石田川橋土質調査その２,01,05,3,136,1,3.593,35,24,50.212,1,5336,00,91,国土交通省 近畿地方整備局 滋賀国道事務所,1984-08,近畿技術コンサルタンツ株式会社,103.35,16,1,,0,16,砂利・礫混り砂,1,M,532110000,16,15.65,50,6,2.5,2018/04/16 14:31 ver2.10→ver3.00 XML変換実施(ボーリングデータバージョン変換システム ver. 1.3),,,,,599200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
